"","ohi_rgn","species","rgn_typ","rgn_nam","probability"
"330",24,"Galeocerdo cuvier","eez","Cambodia",0
"331",25,"Galeocerdo cuvier","eez","Thailand",0
"332",26,"Galeocerdo cuvier","eez","Andaman and Nicobar",0
"333",28,"Galeocerdo cuvier","eez","Comoro Islands",0
"334",29,"Galeocerdo cuvier","eez","Mayotte",0
"335",30,"Galeocerdo cuvier","eez","Glorioso Islands",0
"336",31,"Galeocerdo cuvier","eez","Seychelles",0
"337",32,"Galeocerdo cuvier","eez","R_union",0
"338",33,"Galeocerdo cuvier","eez","Juan de Nova Island",0
"339",34,"Galeocerdo cuvier","eez","Bassas da India",0
"340",35,"Galeocerdo cuvier","eez","Ile Europa",0
"341",36,"Galeocerdo cuvier","eez","Ile Tromelin",0
"342",37,"Galeocerdo cuvier","eez","Mauritius",0
"343",38,"Galeocerdo cuvier","eez","British Indian Ocean Territory",0
"344",39,"Galeocerdo cuvier","eez","Maldives",0
"345",40,"Galeocerdo cuvier","eez","Sri Lanka",0
"346",41,"Galeocerdo cuvier","eez","Mozambique",0
"347",42,"Galeocerdo cuvier","eez","Madagascar",0
"348",43,"Galeocerdo cuvier","eez","Kenya",0
"349",44,"Galeocerdo cuvier","eez","Somalia",0
"350",45,"Galeocerdo cuvier","eez","Eritrea",0
"351",46,"Galeocerdo cuvier","eez","Djibouti",0
"352",47,"Galeocerdo cuvier","eez","Yemen",0
"353",48,"Galeocerdo cuvier","eez","Oman",0
"354",49,"Galeocerdo cuvier","eez","Sudan",0
"355",50,"Galeocerdo cuvier","eez","Saudi Arabia",0
"356",51,"Galeocerdo cuvier","eez","Kuwait",0
"357",52,"Galeocerdo cuvier","eez","Bahrain",0
"358",53,"Galeocerdo cuvier","eez","Pakistan",0
"359",54,"Galeocerdo cuvier","eez","United Arab Emirates",0
"360",55,"Galeocerdo cuvier","eez","Azores",0
"361",56,"Galeocerdo cuvier","eez","Cape Verde",0
"362",57,"Galeocerdo cuvier","eez","Madeira",0
"363",58,"Galeocerdo cuvier","eez","Canary Islands",0
"364",59,"Galeocerdo cuvier","eez","Belgium",0
"365",62,"Galeocerdo cuvier","eez","Morocco",0
"366",63,"Galeocerdo cuvier","eez","Western Sahara",0
"367",64,"Galeocerdo cuvier","eez","Mauritania",0
"368",65,"Galeocerdo cuvier","eez","Gambia",0
"369",66,"Galeocerdo cuvier","eez","Senegal",0
"370",73,"Galeocerdo cuvier","eez","Russia",0
"371",85,"Galeocerdo cuvier","eez","Ascension",0
"372",86,"Galeocerdo cuvier","eez","Saint Helena",0
"373",88,"Galeocerdo cuvier","eez","Tristan da Cunha",0
"374",92,"Galeocerdo cuvier","eez","Amsterdam Island and Saint Paul Island",0
"375",96,"Galeocerdo cuvier","eez","Sierra Leone",0
"376",97,"Galeocerdo cuvier","eez","Liberia",0
"377",98,"Galeocerdo cuvier","eez","Togo",0
"378",99,"Galeocerdo cuvier","eez","Benin",0
"379",100,"Galeocerdo cuvier","eez","R_publique du Congo",0
"380",101,"Galeocerdo cuvier","eez","Namibia",0
"381",102,"Galeocerdo cuvier","eez","South Africa",0
"382",103,"Galeocerdo cuvier","eez","Sao Tome and Principe",0
"383",104,"Galeocerdo cuvier","eez","Equatorial Guinea",0
"384",106,"Galeocerdo cuvier","eez","Ghana",0
"385",107,"Galeocerdo cuvier","eez","Clipperton Island",0
"386",108,"Galeocerdo cuvier","eez","Bermuda",0
"387",110,"Galeocerdo cuvier","eez","Bahamas",0
"388",111,"Galeocerdo cuvier","eez","Turks and Caicos Islands",0
"389",112,"Galeocerdo cuvier","eez","Cuba",0
"390",113,"Galeocerdo cuvier","eez","Cayman Islands",0
"391",114,"Galeocerdo cuvier","eez","Haiti",0
"392",115,"Galeocerdo cuvier","eez","Dominican Republic",0
"393",116,"Galeocerdo cuvier","eez","Puerto Rico and Virgin Islands of the United States",0
"394",117,"Galeocerdo cuvier","eez","British Virgin Islands",0
"395",118,"Galeocerdo cuvier","eez","Anguilla",0
"396",119,"Galeocerdo cuvier","eez","Saint Kitts and Nevis",0
"397",120,"Galeocerdo cuvier","eez","Antigua and Barbuda",0
"398",121,"Galeocerdo cuvier","eez","Montserrat",0
"399",122,"Galeocerdo cuvier","eez","Saint Lucia",0
"400",123,"Galeocerdo cuvier","eez","Dominica",0
"401",124,"Galeocerdo cuvier","eez","Barbados",0
"402",125,"Galeocerdo cuvier","eez","Grenada",0
