"","ohi_rgn","species","rgn_typ","rgn_nam","probability","FAOarea"
"225",65,"Galeocerdo cuvier","eez","Gambia",0.5,NA
"226",66,"Galeocerdo cuvier","eez","Senegal",0.5,NA
"227",73,"Galeocerdo cuvier","eez","Russia",0.5,NA
"228",85,"Galeocerdo cuvier","eez","Ascension",0.5,NA
"229",86,"Galeocerdo cuvier","eez","Saint Helena",0.5,NA
"230",88,"Galeocerdo cuvier","eez","Tristan da Cunha",0.5,NA
"231",92,"Galeocerdo cuvier","eez","Amsterdam Island and Saint Paul Island",0.5,NA
"232",96,"Galeocerdo cuvier","eez","Sierra Leone",0.5,NA
"233",97,"Galeocerdo cuvier","eez","Liberia",0.5,NA
"234",98,"Galeocerdo cuvier","eez","Togo",0.5,NA
"235",99,"Galeocerdo cuvier","eez","Benin",0.5,NA
"236",100,"Galeocerdo cuvier","eez","R_publique du Congo",0.5,NA
"237",101,"Galeocerdo cuvier","eez","Namibia",0.5,NA
"238",102,"Galeocerdo cuvier","eez","South Africa",0.5,NA
"239",103,"Galeocerdo cuvier","eez","Sao Tome and Principe",0.5,NA
"240",104,"Galeocerdo cuvier","eez","Equatorial Guinea",0.5,NA
"241",106,"Galeocerdo cuvier","eez","Ghana",0.5,NA
"242",107,"Galeocerdo cuvier","eez","Clipperton Island",0.5,NA
"243",108,"Galeocerdo cuvier","eez","Bermuda",0.5,NA
"244",110,"Galeocerdo cuvier","eez","Bahamas",0.5,NA
"245",111,"Galeocerdo cuvier","eez","Turks and Caicos Islands",0.5,NA
"246",112,"Galeocerdo cuvier","eez","Cuba",0.5,NA
"247",113,"Galeocerdo cuvier","eez","Cayman Islands",0.5,NA
"248",114,"Galeocerdo cuvier","eez","Haiti",0.5,NA
"249",115,"Galeocerdo cuvier","eez","Dominican Republic",0.5,NA
"250",116,"Galeocerdo cuvier","eez","Puerto Rico and Virgin Islands of the United States",0.5,NA
"251",117,"Galeocerdo cuvier","eez","British Virgin Islands",0.5,NA
"252",118,"Galeocerdo cuvier","eez","Anguilla",0.5,NA
"253",119,"Galeocerdo cuvier","eez","Saint Kitts and Nevis",0.5,NA
"254",120,"Galeocerdo cuvier","eez","Antigua and Barbuda",0.5,NA
"255",121,"Galeocerdo cuvier","eez","Montserrat",0.5,NA
"256",122,"Galeocerdo cuvier","eez","Saint Lucia",0.5,NA
"257",123,"Galeocerdo cuvier","eez","Dominica",0.5,NA
"258",124,"Galeocerdo cuvier","eez","Barbados",0.5,NA
"259",125,"Galeocerdo cuvier","eez","Grenada",0.5,NA
"260",126,"Galeocerdo cuvier","eez","Trinidad and Tobago",0.5,NA
"261",127,"Galeocerdo cuvier","eez","Saint Vincent and the Grenadines",0.5,NA
"262",129,"Galeocerdo cuvier","eez","Panama",0.5,NA
"263",130,"Galeocerdo cuvier","eez","Costa Rica",0.5,NA
"264",131,"Galeocerdo cuvier","eez","Nicaragua",0.5,NA
"265",132,"Galeocerdo cuvier","eez","Colombia",0.5,NA
"266",133,"Galeocerdo cuvier","eez","Honduras",0.5,NA
"267",134,"Galeocerdo cuvier","eez","El Salvador",0.5,NA
"268",135,"Galeocerdo cuvier","eez","Mexico",0.5,NA
"269",136,"Galeocerdo cuvier","eez","Guatemala",0.5,NA
"270",137,"Galeocerdo cuvier","eez","Ecuador",0.5,NA
"271",138,"Galeocerdo cuvier","eez","Peru",0.5,NA
"272",139,"Galeocerdo cuvier","eez","Venezuela",0.5,NA
"273",140,"Galeocerdo cuvier","eez","Guadeloupe and Martinique",0.5,NA
"274",141,"Galeocerdo cuvier","eez","Faeroe Islands",0.5,NA
"275",143,"Galeocerdo cuvier","eez","Iceland",0.5,NA
"276",146,"Galeocerdo cuvier","eez","Pitcairn",0.5,NA
"277",147,"Galeocerdo cuvier","eez","French Polynesia",0.5,NA
"278",148,"Galeocerdo cuvier","eez","Line Group",0.5,NA
"279",149,"Galeocerdo cuvier","eez","Jarvis Island",0.5,NA
"280",150,"Galeocerdo cuvier","eez","Palmyra Atoll",0.5,NA
"281",151,"Galeocerdo cuvier","eez","American Samoa",0.5,NA
"282",152,"Galeocerdo cuvier","eez","Samoa",0.5,NA
"283",153,"Galeocerdo cuvier","eez","Cook Islands",0.5,NA
"284",154,"Galeocerdo cuvier","eez","Niue",0.5,NA
"285",155,"Galeocerdo cuvier","eez","Tonga",0.5,NA
"286",156,"Galeocerdo cuvier","eez","Tokelau",0.5,NA
"287",157,"Galeocerdo cuvier","eez","Phoenix Group",0.5,NA
"288",158,"Galeocerdo cuvier","eez","Howland Island and Baker Island",0.5,NA
